TQ,NDI,C,RDP,DPQ,OU,DFT,DFO
3,1620,4,4,3,5,1137,146
2,112,2,16,4,5,64,19
4,418,4,77,3,5,445,15
1,799,1,46,3,4,253,533
4,1830,4,329,4,4,1939,197
4,587,2,197,3,5,706,70
4,102,3,62,3,3,147,11
3,2486,3,12,4,3,1744,528
4,91,3,80,3,4,153,16
4,1117,3,7,2,4,1012,100
4,325,5,391,3,5,643,65
2,2318,3,312,2,2,1315,655
4,204,2,93,2,1,267,8
3,857,5,217,3,3,751,226
2,2717,4,67,4,3,1393,972
2,901,2,345,3,5,623,436
2,358,3,365,3,4,361,326
3,601,2,134,3,1,514,66
3,22,2,78,3,3,70,21
3,580,4,166,2,3,523,155
4,304,5,132,3,4,392,39
3,569,5,90,3,1,460,59
3,635,3,86,2,3,504,152
3,495,4,115,3,3,426,128
2,1252,4,94,4,2,674,335
2,917,4,13,3,2,465,232
2,1597,4,5,3,2,804,397
2,561,3,244,3,3,403,281
1,2868,1,205,2,3,920,1510
2,454,4,790,3,3,624,433
3,155,4,126,4,4,196,76
2,62,1,9,3,3,35,25
5,139,3,306,2,5,222,156
4,914,5,25,3,2,845,46
3,294,2,105,4,4,278,108
4,472,3,6,5,3,430,33
4,2907,3,76,3,3,2681,211
3,12,3,32,4,2,30,6
2,281,1,61,2,2,171,85
3,1103,3,9,3,2,778,166
3,950,4,8,3,1,670,86
3,1475,1,44,3,4,1065,407
3,2179,2,156,2,5,1635,629
3,614,2,39,3,3,457,136
3,243,3,38,3,5,196,59
4,29,5,136,2,4,148,15
4,62,3,30,2,4,82,8
3,1079,4,315,3,1,977,124
3,1597,4,62,4,3,1160,349
5,1040,2,28,3,1,746,96
4,2878,1,284,3,1,2847,94
3,907,3,24,4,3,651,196
4,2770,3,67,2,2,2550,143
3,2932,3,55,3,1,2087,271
4,1313,4,109,2,3,1279,100
2,1304,4,196,2,1,747,226
4,17,4,53,2,2,62,3
3,1792,3,31,3,5,1281,270
4,2820,2,35,3,3,2566,201
2,2817,4,161,2,2,1487,746
4,367,1,3,3,5,332,18
4,31,2,62,3,5,83,5
3,2458,2,9,3,4,1728,665
4,693,1,35,3,2,654,37
4,1264,2,25,4,1,1160,38
5,77,3,11,3,3,79,6
3,1375,1,331,3,2,1197,254
3,811,4,31,4,3,590,176
3,41,1,4,3,5,31,9
3,506,4,21,3,5,369,110
3,88,2,12,4,5,69,21
5,1380,4,39,4,4,991,385
2,1533,1,62,3,1,796,239
3,2390,2,71,3,2,1722,368
3,1557,3,103,3,5,1158,252
4,183,5,95,3,5,250,14
4,2651,5,138,2,3,2511,194
5,910,5,20,3,3,836,65
4,2961,3,64,3,1,2721,91
2,171,3,13,2,4,92,82
2,2788,3,24,4,3,1404,987
2,890,2,25,3,2,457,228
2,930,4,37,4,4,484,434
1,859,3,18,3,1,264,183
3,43,2,441,3,3,338,102
4,1944,5,301,3,1,2023,66
2,184,2,79,2,1,131,39
3,1204,3,238,2,1,1009,129
1,103,2,19,3,3,36,60
5,457,3,67,2,1,158,109
5,2085,4,420,3,2,754,873
4,191,2,59,3,2,224,12
3,2469,2,49,4,1,1763,226
3,1269,5,26,4,3,907,271
3,2796,2,36,3,2,1981,425
2,580,1,52,3,2,316,157
1,597,4,205,3,1,239,168
3,51,4,4,2,3,38,11
2,1103,3,216,3,4,661,591
3,2127,5,24,3,4,1504,582
2,1595,3,57,2,2,826,412
5,2772,4,283,3,5,1529,761
2,2237,1,402,2,5,1316,662
4,2035,4,64,3,5,1888,105
4,2338,2,237,3,4,2319,230
4,333,5,76,3,3,368,28
2,82,5,27,2,1,54,16
2,167,3,197,3,5,181,54
4,21,3,85,3,2,95,5
2,364,4,216,4,5,289,145
3,2771,2,230,3,4,2099,811
2,376,3,377,3,2,376,188
3,363,3,82,3,4,311,120
4,1778,4,74,3,4,1666,167
2,958,4,47,4,4,501,453
2,70,5,20,4,1,45,13
2,2902,5,7,3,2,1454,726
2,2484,3,62,3,1,1273,380
4,39,3,12,4,4,45,5
2,1161,5,545,4,4,855,765
3,476,5,32,3,3,356,106
3,2166,4,93,2,5,1583,473
3,2421,4,10,3,1,1701,219
3,2420,3,14,4,5,1708,217
5,830,3,0,3,2,581,124
3,369,2,108,4,3,333,100
2,863,3,323,3,1,593,178
4,771,2,20,4,1,711,23
2,2740,2,643,4,4,1692,1520
4,1659,1,90,3,1,1576,51
2,63,4,27,3,3,44,32
5,795,4,31,4,2,413,207
5,495,2,123,3,3,308,217
2,884,5,4,3,2,443,222
3,119,5,29,3,3,103,31
2,1413,5,97,3,3,753,530
2,1576,2,272,3,4,925,831
2,2570,2,56,3,5,1311,1181
4,2783,3,32,4,1,2529,86
3,894,5,51,3,1,662,85
2,1432,4,5,3,3,719,502
3,2874,1,71,4,3,2063,616
2,152,3,139,3,4,145,131
3,2967,1,166,3,1,2194,281
2,0,3,55,3,2,27,14
1,1084,5,3,3,2,327,379
3,2984,4,5,3,4,2097,800
3,88,1,1,3,4,62,24
2,379,3,212,3,3,295,207
2,53,1,36,4,3,44,31
1,2662,3,15,3,2,803,938
3,1341,3,139,3,4,1037,398
3,349,4,20,4,4,257,100
2,318,4,75,3,2,196,98
4,50,2,91,3,4,126,13
4,2765,3,62,2,3,2540,200
1,2960,2,8,3,2,888,1038
1,674,2,394,3,1,319,224
4,936,2,164,3,3,991,76
2,83,3,101,3,4,92,82
3,110,5,1,3,3,77,23
2,561,5,65,3,4,313,281
2,455,4,325,3,1,388,117
5,666,5,123,3,4,394,355
4,1639,3,55,4,5,1525,152
4,1107,2,64,3,3,1053,82
4,1501,4,56,3,3,1404,107
2,130,4,60,3,3,95,66
4,2316,4,296,3,3,2353,181
3,1444,4,79,3,5,1065,320
3,345,3,134,3,1,335,43
2,136,3,59,3,4,97,88
4,980,4,26,3,4,906,89
5,2042,4,31,3,5,1866,186
3,1062,1,26,3,3,760,229
4,496,4,89,3,1,527,17
3,2848,1,70,3,4,2045,786
4,2978,4,4,3,4,2680,271
4,1814,5,33,3,3,1663,128
4,2950,1,43,4,4,2696,267
3,2008,2,10,4,5,1410,547
3,1296,3,22,3,4,923,355
4,1869,4,112,3,3,1783,138
3,1013,3,255,3,3,885,267
3,461,4,88,3,3,383,116
4,470,4,149,4,4,557,55
2,2946,4,21,3,2,1485,741
2,2769,1,9,2,5,1390,694
4,42,2,0,3,1,37,1
2,1806,5,245,3,3,1026,716
1,299,1,86,3,1,115,81
4,2829,3,1,3,1,2546,85
3,910,4,7,2,4,643,246
2,138,4,242,4,5,189,172
4,2889,3,192,3,1,2771,93
3,2783,2,23,4,2,1963,422
2,920,5,85,3,5,501,251
3,992,5,3,3,4,696,268
3,325,1,106,3,3,301,91
3,571,4,50,2,5,433,131
1,594,3,83,3,1,204,142
4,147,5,42,3,5,169,5
4,221,4,68,4,4,260,26
3,1441,4,10,3,1,1015,131
4,261,4,391,4,4,585,60
3,2893,3,150,4,3,2122,644
4,1229,2,31,3,2,1133,63
4,2787,4,218,3,2,2700,152
4,1185,3,465,4,3,1485,115
3,667,3,97,3,1,535,68
2,1487,3,26,3,2,755,377
3,215,3,11,3,2,158,33
3,0,3,3,3,1,2,0
3,294,4,414,4,1,495,64
3,181,1,80,3,3,182,55
3,2997,5,102,4,2,2166,465
4,2267,2,76,3,3,2109,163
3,2495,5,180,3,4,1872,723
1,68,5,254,4,2,96,113
1,2938,3,29,3,2,886,1038
3,2064,3,94,2,2,1510,323
4,75,1,538,3,1,551,18
4,2244,3,249,3,3,2248,171
3,952,5,22,3,5,683,203
4,2967,3,2,3,1,2673,88
5,2964,4,357,4,5,2989,99
3,433,2,248,2,2,476,102
2,40,2,144,3,1,92,27
2,473,2,260,3,5,366,110
2,1142,3,9,3,1,576,172
4,283,3,11,3,3,264,20
2,1208,1,163,3,2,686,342
4,572,2,144,3,1,644,21
3,70,5,18,3,5,61,8
4,216,2,72,3,5,259,8
1,56,3,334,3,5,117,82
4,2838,3,205,4,5,2740,91
4,697,1,83,3,5,702,23
5,32,2,82,2,2,102,6
2,283,4,207,3,4,244,220
2,2983,3,40,4,1,1507,455
3,169,3,176,3,2,241,52
4,400,5,43,4,2,398,22
4,349,4,19,3,4,331,33
3,1680,1,104,2,3,1247,376
4,1713,3,206,4,3,1726,135
2,912,2,16,3,2,464,232
5,653,4,16,3,5,334,167
5,674,3,17,3,5,345,172
3,30,5,33,2,2,44,9
3,1586,2,8,4,4,1114,432
3,809,5,197,5,3,705,210
3,2917,3,14,3,3,2050,618
4,2789,5,36,2,5,2541,198
3,559,3,140,3,2,488,105
4,822,4,25,2,1,761,25
3,1470,3,141,3,2,1127,241
2,164,3,12,2,1,87,26
4,897,3,9,2,4,814,82
4,2737,5,22,2,3,2488,189
3,253,1,182,4,4,304,118
4,2235,4,0,2,4,2008,204
3,931,5,55,4,2,689,148
4,355,3,48,3,2,362,20
3,664,4,9,4,4,471,181
4,653,1,116,3,4,692,69
3,848,5,110,3,1,668,86
4,696,5,53,2,3,672,54
3,905,2,66,4,2,678,146
2,51,3,5,2,3,28,19
1,2542,1,774,3,2,1002,1154
3,1,2,96,4,1,67,8
2,1712,3,12,3,5,860,259
2,516,3,30,3,3,272,191
3,918,3,1006,3,5,1344,405
3,182,3,77,3,4,181,70
3,241,4,321,4,5,394,151
5,983,3,22,4,4,703,272
1,1222,2,2,2,4,367,772
4,1266,4,65,3,4,1199,118
4,10,4,63,2,4,65,7
2,313,3,46,2,5,179,162
2,2417,3,126,4,2,1271,636
2,2273,3,95,2,3,1183,829
4,488,1,32,3,5,468,36
3,1641,3,451,3,1,1468,187
5,1504,1,1,4,5,1055,135
3,306,3,17,1,1,225,29
3,34,4,124,1,1,110,14
4,2825,4,41,3,5,2578,86
3,106,1,230,2,4,235,91
2,2843,3,78,4,4,1465,1310
2,491,2,61,2,4,275,248
4,534,3,102,2,1,572,19
3,416,4,248,3,2,463,100
3,1219,2,19,4,4,868,332
2,1033,5,41,3,3,539,373
4,1958,4,42,3,5,1801,139
4,205,3,45,4,2,224,13
2,545,4,227,3,4,386,346
2,7,3,81,2,2,44,22
4,2774,2,20,2,1,2515,83
4,1425,1,32,3,2,1309,74
3,363,2,598,3,5,672,144
2,421,3,322,2,1,370,111
1,1247,4,632,2,1,563,395
4,2999,4,30,3,2,2725,151
4,1423,2,62,3,5,1338,73
3,1736,1,448,2,3,1528,459
1,2980,2,111,3,1,926,649
2,1456,3,117,2,4,787,706
4,476,5,92,3,4,510,52
4,532,4,1,3,4,478,49
4,1143,4,91,2,2,1111,61
3,995,4,86,3,2,756,162
2,10,4,76,2,5,43,21
3,105,2,206,4,5,217,46
3,511,3,3,4,4,359,139
3,292,2,148,3,3,307,92
3,410,3,50,4,5,321,97
2,2818,2,137,2,1,1480,442
2,1838,3,148,4,3,991,696
3,1566,4,98,3,5,1166,349
2,148,3,223,3,1,185,55
1,51,2,38,3,4,26,56
4,1198,1,268,3,3,1317,104
2,464,2,107,3,4,285,257
3,601,4,106,3,3,493,150
2,2833,2,17,4,4,1431,1277
3,2982,4,220,4,3,2241,673
1,2344,2,77,4,5,730,1183
2,167,3,176,3,5,171,120
2,839,5,69,3,3,455,316
4,2480,3,96,3,3,2316,182
2,349,5,196,3,5,272,191
3,2880,3,128,4,5,2105,632
4,249,2,58,2,3,276,21
4,520,4,8,3,5,475,37
4,66,2,51,3,3,105,8
5,351,5,29,4,4,342,34
3,193,1,23,3,1,151,19
5,1234,2,69,2,1,910,118
3,181,5,24,3,1,143,18
2,2924,5,625,3,4,1775,1598
3,385,2,63,3,5,313,121
4,1759,2,3,2,5,1586,158
3,826,4,52,3,1,612,79
3,2912,3,94,3,4,2104,812
3,2973,4,122,3,3,2165,650
2,110,4,41,3,4,75,68
2,230,4,165,3,3,198,137
2,556,3,19,2,1,287,86
2,1703,3,75,4,2,887,445
2,203,4,77,4,2,139,70
2,214,2,189,3,4,200,182
3,309,2,67,3,1,263,33
4,2752,1,123,4,3,2584,203
3,25,3,18,3,2,30,6
3,796,2,21,2,2,572,122
2,81,4,61,2,1,71,21
3,2941,2,139,3,1,2158,276
2,125,4,17,3,1,70,21
2,1157,4,197,3,1,676,203
2,1,4,368,3,4,184,166
3,230,2,225,2,2,318,68
3,60,3,19,4,5,55,12
1,536,4,228,4,3,230,373
2,689,3,17,3,2,353,175
3,2401,3,490,3,4,2021,782
2,25,4,13,3,5,19,17
3,309,3,39,3,3,243,73
2,856,3,88,2,4,472,425
2,2050,3,66,2,1,1056,316
4,1705,4,133,3,4,1653,166
3,686,4,13,3,2,489,104
4,221,4,158,3,4,340,35
4,226,4,66,3,4,262,26
1,11,5,48,2,2,17,20
5,935,3,16,3,5,284,333
3,2675,4,261,3,3,2054,618
3,987,3,56,4,4,729,282
2,1500,2,231,3,5,867,778
3,2313,1,171,3,3,1743,518
4,151,4,485,4,1,573,18
3,765,3,20,2,1,549,70
2,1574,3,29,2,3,800,563
4,289,5,564,3,2,767,42
2,546,4,24,3,4,285,256
3,2886,3,49,3,1,2058,262
5,2121,5,14,3,1,1491,194
2,510,1,156,2,3,333,233
3,379,3,49,2,2,299,64
5,573,5,117,3,2,484,103
3,137,4,177,2,5,219,47
4,745,5,105,3,5,766,42
3,2450,2,3,2,5,1717,368
4,1871,3,4,4,3,1685,133
4,1690,2,363,3,1,1845,62
4,393,3,486,3,2,790,44
2,66,2,62,2,4,64,57
4,31,5,49,3,1,71,2
4,69,3,76,2,2,130,7
3,2152,3,20,3,4,1520,587
3,115,3,10,3,3,87,26
2,852,2,11,4,5,430,302
3,2810,2,7,4,2,1975,420
3,2774,3,46,4,5,1976,421
3,174,4,20,3,4,135,53
4,2331,2,177,2,3,2258,175
3,2856,5,152,3,5,2109,629
4,2454,5,177,3,5,2367,184
5,1569,2,55,2,4,1461,146
2,2214,5,47,3,5,1131,1017
3,1285,3,40,4,5,926,359
2,2023,4,239,4,4,1130,1019
5,2993,2,9,3,5,1504,1345
2,310,2,119,2,3,213,151
4,2990,2,7,5,3,2700,207
3,2838,2,281,2,5,2186,654
3,438,4,268,3,5,493,149
2,2983,1,28,2,4,1508,1352
4,479,3,59,3,3,484,37
3,1905,5,30,4,2,1357,288
3,2931,3,3,3,1,2055,264
5,526,4,84,4,2,426,91
1,305,1,77,3,4,114,241
2,1989,1,27,4,3,1007,704
4,124,5,96,3,2,198,10
3,135,4,24,3,3,111,33
4,691,5,173,4,1,778,25
4,87,5,75,3,1,145,5
3,2837,4,118,4,3,2064,623
3,1645,3,96,3,3,1218,365
3,1222,3,21,3,5,868,262
3,827,2,159,3,3,690,207
2,11,3,71,3,1,40,12
3,396,4,338,3,2,514,110
4,110,2,968,4,3,970,75
4,967,4,36,2,3,902,70
2,2980,4,5,3,3,1495,1042
3,853,2,132,3,1,690,88
1,982,5,33,3,2,303,356
2,20,3,50,4,4,35,31
3,353,2,98,3,4,315,122
2,2989,2,95,3,4,1542,1389
4,2404,2,76,4,3,2232,173
4,2929,2,24,4,4,2651,271
3,230,3,13,3,2,169,36
2,19,5,67,3,1,43,12
2,1165,5,164,4,4,666,596
3,1583,4,43,3,1,1138,146
3,176,2,145,4,1,224,29
4,39,4,113,4,3,136,11
3,2987,4,68,3,4,2139,823
4,2810,3,64,4,3,2587,200
2,626,2,77,3,4,351,316
4,321,1,32,4,1,317,10
3,649,3,529,4,4,823,319
4,2429,4,94,3,2,2271,125
4,185,2,130,3,1,284,9
4,217,3,28,3,3,220,17
3,184,5,22,3,5,144,43
4,19,2,227,3,1,221,7
3,2787,4,57,3,5,1989,256
4,1605,4,50,3,2,1491,82
3,1539,4,5,3,2,1080,231
4,855,4,151,1,3,903,72
4,2075,3,5,4,4,1874,185
1,24,3,119,3,1,42,30
3,486,2,107,4,1,415,53
4,802,2,101,3,2,814,44
4,2837,3,76,3,2,2620,146
2,1855,1,209,4,3,1032,721
2,532,4,34,3,1,281,84
3,422,3,198,3,2,433,93
2,0,5,119,3,4,59,53
2,697,3,244,3,1,471,141
2,977,5,240,2,1,610,181
4,387,2,226,4,2,551,30
2,119,3,29,3,5,73,37
1,1012,2,1,2,2,303,355
2,1324,2,268,4,4,794,718
3,1596,4,34,4,5,1140,440
4,1711,4,78,2,5,1609,161
4,2579,4,35,3,3,2351,184
3,1895,3,202,2,4,1472,562
4,162,5,927,3,4,980,98
4,173,5,6,4,5,161,16
2,657,4,99,3,1,377,113
3,2180,3,21,2,5,1538,197
3,221,4,233,4,3,318,95
2,2836,4,4,2,2,1420,710
4,2483,4,25,3,5,2261,123
2,1979,4,54,3,3,1016,710
1,242,3,310,3,1,165,116
3,2851,2,6,2,4,2002,769
3,2200,5,96,2,1,1609,204
3,681,4,58,1,1,518,66
2,1264,4,37,2,5,649,195
2,225,5,10,3,1,117,35
2,2557,3,49,3,4,1306,1170
3,578,2,33,3,1,427,54
3,483,4,98,3,5,407,52
2,90,4,79,3,1,84,25
2,2589,5,38,3,1,1315,395
2,608,2,606,4,3,606,425
3,539,2,360,3,4,629,243
3,575,4,22,2,5,418,161
3,923,4,356,2,4,896,344
2,2801,1,38,2,2,1421,706
4,2898,4,8,3,4,2612,264
3,291,3,237,3,3,369,111
2,2166,4,84,3,4,1124,1015
3,845,1,58,4,4,632,243
3,2169,2,59,3,1,1560,199
4,823,4,359,3,2,1065,58
5,13,2,19,3,1,28,1
3,1056,3,417,2,5,1032,132
3,2587,2,71,4,1,1862,238
3,445,3,590,2,4,724,280
2,2501,4,174,4,3,1336,937
2,2623,3,49,2,1,1333,403
4,2274,5,27,3,5,2069,69
4,916,4,30,3,5,850,29
3,2987,4,50,4,4,2123,822
5,781,2,2,2,1,547,71
4,2817,3,268,3,3,2778,214
2,757,3,131,2,5,444,311
4,2952,5,63,3,2,2715,150
1,316,4,52,4,4,110,232
2,1875,2,0,3,4,940,841
3,440,4,124,3,2,394,84
3,25,2,19,4,5,30,6
2,659,2,79,2,1,368,111
1,606,3,66,3,2,202,235
3,154,2,34,3,3,131,39
2,929,4,77,3,1,502,150
2,1996,4,20,3,4,1007,909
3,443,4,58,3,5,350,135
3,1625,3,41,3,3,1167,349
2,1108,4,93,3,2,602,300
4,2994,2,76,3,1,2757,93
5,577,5,6,3,3,524,41
4,743,4,123,2,2,779,43
2,162,4,30,4,4,96,86
3,1199,3,54,3,5,876,339
4,1531,4,455,3,5,1785,180
3,2347,3,29,4,5,1663,641
3,1056,3,361,2,3,993,296
4,1120,5,58,3,1,1060,35
4,1435,3,37,2,2,1326,72
2,1611,4,180,2,1,893,268
3,679,5,264,4,3,661,197
2,347,4,101,1,2,224,111
3,81,2,8,3,2,62,13
3,592,3,79,2,1,469,60
3,1141,4,63,4,5,842,108
2,2833,5,49,3,4,1442,1295
4,796,4,20,3,1,735,24
2,2394,3,31,3,2,1214,606
4,149,2,2,3,3,135,11
3,381,4,102,3,1,338,43
2,852,1,81,3,4,465,422
3,1904,1,119,4,3,1413,426
3,80,2,53,3,2,93,19
3,570,1,193,3,5,535,113
4,628,2,4,3,1,569,19
4,2472,3,97,2,3,2307,183
2,2071,1,443,3,4,1260,1129
4,24,3,120,3,5,129,13
5,2902,4,80,3,5,2684,268
3,382,2,403,4,1,548,71
3,502,1,19,3,5,365,46
2,2926,3,98,3,1,1515,452
2,1919,3,0,2,2,960,477
2,2878,2,75,3,1,1470,444
4,1700,3,41,2,3,1565,122
3,1085,4,149,3,2,863,185
4,452,5,512,4,2,868,47
1,2187,2,34,3,4,667,1397
3,752,1,14,3,1,536,69
2,909,1,7,4,4,458,412
2,1063,3,55,3,1,559,167
2,1188,1,50,3,5,617,185
2,417,2,240,2,1,328,99
3,131,2,101,4,2,162,35
2,1656,2,10,3,3,834,582
4,447,3,111,3,2,501,28
2,780,3,235,4,4,506,457
4,1898,4,77,3,3,1775,139
3,92,5,8,4,3,70,20
2,88,3,78,3,1,83,25
2,2444,3,191,3,2,1320,658
4,621,1,313,4,1,840,28
4,1472,2,372,3,3,1658,130
3,321,4,31,3,2,246,52
2,1458,2,41,2,3,748,524
2,1759,3,389,2,1,1071,322
4,1837,4,13,4,4,1665,166
3,22,1,9,4,2,21,5
5,2145,3,79,3,5,1552,336
2,345,1,39,3,1,191,58
2,1938,5,64,4,5,1000,300
4,844,3,130,3,4,878,86
2,233,4,20,3,4,126,114
4,748,4,44,3,2,711,40
4,2960,2,50,3,5,2713,148
3,1145,4,173,2,3,922,277
3,586,3,34,3,3,434,130
3,199,4,159,3,1,250,32
3,288,3,19,3,3,214,65
4,2971,5,4,3,2,2673,151
5,463,4,129,4,1,532,17
4,2839,3,108,4,1,2647,90
3,2875,2,189,3,1,2147,275
1,1155,2,12,3,3,348,573
2,2842,4,39,4,5,1438,1010
2,1818,4,185,3,1,1000,300
3,278,2,64,3,4,238,93
2,206,3,26,3,4,116,104
5,218,2,236,2,5,228,203
1,13,4,81,3,4,28,59
2,22,3,40,3,3,30,22
4,27,2,494,3,1,468,15
