TQ,DPQ,C,OU,DI,DFT,RD,DFO,DPQ2,C2,TQ2,OU2,DI2,DFT2,RD2,DFO2,DPQ3,C3,TQ3,OU3,DI3,DFT3,RD3,DFO3
4,1,1,4,22,20,2,1,1,1,4,4,2,1,1,0,1,1,4,4,1,0,1,0
2,0,4,4,36,14,22,20,0,4,2,4,22,8,14,13,0,4,2,4,14,5,9,8
1,4,0,4,3,0,3,2,4,0,1,4,3,0,3,2,4,0,1,4,3,0,3,2
3,2,4,3,32,22,10,6,2,4,3,3,10,7,3,2,2,4,3,3,3,2,1,0
3,4,2,3,12,8,4,2,4,2,3,3,4,2,2,1,4,2,3,3,2,1,1,0
2,3,4,2,15,5,10,4,3,4,2,2,10,3,7,2,3,4,2,2,7,2,5,1
1,1,1,4,12,3,9,8,1,1,1,4,9,2,7,6,1,1,1,4,7,2,5,4
2,2,0,2,3,1,2,0,2,0,2,2,2,0,2,0,2,0,2,2,2,0,2,0
1,3,4,2,17,5,12,4,3,4,1,2,12,3,9,3,3,4,1,2,9,2,7,2
0,4,1,3,0,0,0,0,4,1,0,3,0,0,0,0,4,1,0,3,0,0,0,0
1,3,1,2,5,1,4,1,3,1,1,2,4,1,3,1,3,1,1,2,3,0,3,1
0,4,0,3,4,0,4,2,4,0,0,3,4,0,4,2,4,0,0,3,4,0,4,2
3,2,2,1,22,15,7,2,2,2,3,1,7,4,3,0,2,2,3,1,3,2,1,0
3,4,4,0,16,11,5,0,4,4,3,0,5,3,2,0,4,4,3,0,2,1,1,0
4,4,4,1,33,31,2,0,4,4,4,1,2,1,1,0,4,4,4,1,1,0,1,0
0,3,1,3,4,0,4,2,3,1,0,3,4,0,4,2,3,1,0,3,4,0,4,2
4,3,3,4,18,17,1,0,3,3,4,4,1,0,1,0,3,3,4,4,1,0,1,0
0,3,4,3,8,0,8,5,3,4,0,3,8,0,8,5,3,4,0,3,8,0,8,5
0,4,2,1,5,0,5,1,4,2,0,1,5,0,5,1,4,2,0,1,5,0,5,1
4,0,0,4,7,6,1,0,0,0,4,4,1,0,1,0,0,0,4,4,1,0,1,0
1,0,0,4,26,7,19,18,0,0,1,4,19,5,14,13,0,0,1,4,14,4,10,9
2,4,0,4,10,4,6,5,4,0,2,4,6,2,4,3,4,0,2,4,4,1,3,2
1,3,3,1,14,4,10,3,3,3,1,1,10,2,8,2,3,3,1,1,8,2,6,1
1,2,2,3,22,6,16,11,2,2,1,3,16,4,12,8,2,2,1,3,12,3,9,6
3,0,4,4,29,20,9,8,0,4,3,4,9,6,3,2,0,4,3,4,3,2,1,0
2,1,2,4,28,11,17,16,1,2,2,4,17,6,11,10,1,2,2,4,11,4,7,6
4,3,2,3,2,1,1,0,3,2,4,3,1,0,1,0,3,2,4,3,1,0,1,0
2,0,3,3,33,13,20,14,0,3,2,3,20,8,12,8,0,3,2,3,12,4,8,5
1,2,3,2,12,3,9,3,2,3,1,2,9,2,7,2,2,3,1,2,7,2,5,1
0,2,2,0,11,1,10,0,2,2,0,0,10,0,10,1,2,2,0,0,10,1,9,0
2,1,2,3,19,7,12,8,1,2,2,3,12,4,8,5,1,2,2,3,8,3,5,3
1,3,0,2,0,0,0,0,3,0,1,2,0,0,0,0,3,0,1,2,0,0,0,0
3,3,4,1,23,16,7,2,3,4,3,1,7,4,3,0,3,4,3,1,3,2,1,0
4,2,0,2,9,8,1,0,2,0,4,2,1,0,1,0,2,0,4,2,1,0,1,0
4,0,1,2,31,29,2,0,0,1,4,2,2,1,1,0,0,1,4,2,1,0,1,0
0,0,3,2,27,2,25,10,0,3,0,2,25,2,23,9,0,3,0,2,23,2,21,8
1,0,1,2,30,9,21,8,0,1,1,2,21,6,15,5,0,1,1,2,15,4,11,4
3,2,0,3,6,4,2,1,2,0,3,3,2,1,1,0,2,0,3,3,1,0,1,0
4,1,3,0,20,18,2,0,1,3,4,0,2,1,1,0,1,3,4,0,1,0,1,0
0,0,0,2,22,2,20,7,0,0,0,2,20,2,18,7,0,0,0,2,18,1,17,6
2,1,1,0,25,9,16,1,1,1,2,0,16,6,10,0,1,1,2,0,10,4,6,0
1,1,2,4,19,5,14,13,1,2,1,4,14,4,10,9,1,2,1,4,10,3,7,6
0,3,0,2,4,0,4,1,3,0,0,2,4,0,4,1,3,0,0,2,4,0,4,1
0,2,1,4,13,1,12,11,2,1,0,4,12,1,11,10,2,1,0,4,11,1,10,9
1,0,4,3,35,10,25,17,0,4,1,3,25,7,18,12,0,4,1,3,18,5,13,9
4,4,1,3,5,4,1,0,4,1,4,3,1,0,1,0,4,1,4,3,1,0,1,0
1,4,4,4,4,1,3,2,4,4,1,4,3,0,3,2,4,4,1,4,3,0,3,2
2,3,2,2,5,2,3,1,3,2,2,2,3,1,2,0,3,2,2,2,2,0,2,0
1,1,1,0,22,6,16,1,1,1,1,0,16,4,12,1,1,1,1,0,12,3,9,0
4,2,0,3,21,19,2,1,2,0,4,3,2,1,1,0,2,0,4,3,1,0,1,0
3,1,3,0,18,12,6,0,1,3,3,0,6,4,2,0,1,3,3,0,2,1,1,0
1,0,2,1,16,4,12,3,0,2,1,1,12,3,9,2,0,2,1,1,9,2,7,2
1,2,1,4,19,5,14,13,2,1,1,4,14,4,10,9,2,1,1,4,10,3,7,6
4,0,4,3,37,35,2,1,0,4,4,3,2,1,1,0,0,4,4,3,1,0,1,0
3,1,3,4,27,18,9,8,1,3,3,4,9,6,3,2,1,3,3,4,3,2,1,0
3,0,0,0,10,6,4,0,0,0,3,0,4,2,2,0,0,0,3,0,2,1,1,0
1,0,2,0,23,6,17,1,0,2,1,0,17,5,12,1,0,2,1,0,12,3,9,0
1,0,1,2,20,6,14,5,0,1,1,2,14,4,10,4,0,1,1,2,10,2,8,3
2,2,4,3,32,12,20,14,2,4,2,3,20,7,13,9,2,4,2,3,13,5,8,5
2,1,2,3,20,7,13,9,1,2,2,3,13,5,8,5,1,2,2,3,8,3,5,3
2,1,3,1,38,15,23,6,1,3,2,1,23,9,14,4,1,3,2,1,14,5,9,2
4,2,3,4,17,16,1,0,2,3,4,4,1,0,1,0,2,3,4,4,1,0,1,0
1,4,3,1,9,2,7,2,4,3,1,1,7,2,5,1,4,3,1,1,5,1,4,1
1,4,2,4,29,8,21,19,4,2,1,4,21,6,15,14,4,2,1,4,15,4,11,10
1,2,3,3,23,6,17,11,2,3,1,3,17,5,12,8,2,3,1,3,12,3,9,6
1,2,1,4,8,2,6,5,2,1,1,4,6,1,5,4,2,1,1,4,5,1,4,3
4,4,2,1,4,3,1,0,4,2,4,1,1,0,1,0,4,2,4,1,1,0,1,0
0,3,1,3,7,0,7,4,3,1,0,3,7,0,7,4,3,1,0,3,7,0,7,4
2,3,0,0,4,1,3,0,3,0,2,0,3,1,2,0,3,0,2,0,2,0,2,0
4,0,2,4,38,36,2,1,0,2,4,4,2,1,1,0,0,2,4,4,1,0,1,0
0,3,4,4,29,2,27,25,3,4,0,4,27,2,25,23,3,4,0,4,25,2,23,21
0,3,3,3,27,2,25,17,3,3,0,3,25,2,23,16,3,3,0,3,23,2,21,14
3,0,3,4,38,26,12,11,0,3,3,4,12,8,4,3,0,3,3,4,4,2,2,1
1,4,2,1,11,3,8,2,4,2,1,1,8,2,6,1,4,2,1,1,6,1,5,1
1,4,0,1,7,2,5,1,4,0,1,1,5,1,4,1,4,0,1,1,4,1,3,0
2,4,3,0,0,0,0,0,4,3,2,0,0,0,0,0,4,3,2,0,0,0,0,0
2,1,1,0,8,3,5,0,1,1,2,0,5,2,3,0,1,1,2,0,3,1,2,0
2,3,4,2,17,6,11,4,3,4,2,2,11,4,7,2,3,4,2,2,7,2,5,1
0,4,0,3,0,0,0,0,4,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0
2,1,3,0,29,11,18,1,1,3,2,0,18,7,11,1,1,3,2,0,11,4,7,0
3,1,0,3,15,10,5,3,1,0,3,3,5,3,2,1,1,0,3,3,2,1,1,0
2,1,0,0,23,9,14,1,1,0,2,0,14,5,9,0,1,0,2,0,9,3,6,0
2,0,1,0,26,10,16,1,0,1,2,0,16,6,10,0,0,1,2,0,10,4,6,0
3,4,2,2,3,2,1,0,4,2,3,2,1,0,1,0,4,2,3,2,1,0,1,0
1,4,2,1,5,1,4,1,4,2,1,1,4,1,3,0,4,2,1,1,3,0,3,0
0,2,2,0,26,2,24,2,2,2,0,0,24,2,22,2,2,2,0,0,22,2,20,2
0,2,3,4,29,2,27,25,2,3,0,4,27,2,25,23,2,3,0,4,25,2,23,21
3,4,2,1,8,5,3,0,4,2,3,1,3,2,1,0,4,2,3,1,1,0,1,0
2,1,3,1,35,14,21,6,1,3,2,1,21,8,13,3,1,3,2,1,13,5,8,2
1,0,1,3,24,7,17,11,0,1,1,3,17,5,12,8,0,1,1,3,12,3,9,6
2,4,3,4,6,2,4,3,4,3,2,4,4,1,3,2,4,3,2,4,3,1,2,1
3,1,4,0,37,25,12,1,1,4,3,0,12,8,4,0,1,4,3,0,4,2,2,0
1,2,0,4,23,6,17,16,2,0,1,4,17,5,12,11,2,0,1,4,12,3,9,8
4,1,2,0,17,16,1,0,1,2,4,0,1,0,1,0,1,2,4,0,1,0,1,0
0,3,4,0,10,0,10,1,3,4,0,0,10,0,10,0,3,4,0,0,10,1,9,0
1,1,0,1,29,8,21,6,1,0,1,1,21,6,15,4,1,0,1,1,15,4,11,3
3,0,3,3,30,21,9,6,0,3,3,3,9,6,3,2,0,3,3,3,3,2,1,0
3,0,1,1,13,9,4,1,0,1,3,1,4,2,2,0,0,1,3,1,2,1,1,0
4,4,2,3,12,11,1,0,4,2,4,3,1,0,1,0,4,2,4,3,1,0,1,0
1,1,2,0,32,9,23,2,1,2,1,0,23,6,17,1,1,2,1,0,17,5,12,1
3,4,1,4,3,2,1,0,4,1,3,4,1,0,1,0,4,1,3,4,1,0,1,0
0,0,3,4,37,3,34,32,0,3,0,4,34,3,31,29,0,3,0,4,31,3,28,26
3,4,4,2,1,0,1,0,4,4,3,2,1,0,1,0,4,4,3,2,1,0,1,0
0,2,3,2,34,3,31,12,2,3,0,2,31,3,28,11,2,3,0,2,28,2,26,10
3,0,2,0,35,24,11,1,0,2,3,0,11,7,4,0,0,2,3,0,4,2,2,0
1,1,3,2,37,11,26,10,1,3,1,2,26,7,19,7,1,3,1,2,19,5,14,5
3,1,4,3,33,23,10,7,1,4,3,3,10,7,3,2,1,4,3,3,3,2,1,0
2,2,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,1,4,18,17,1,0,0,1,4,4,1,0,1,0,0,1,4,4,1,0,1,0
2,1,3,2,28,11,17,6,1,3,2,2,17,6,11,4,1,3,2,2,11,4,7,2
0,2,4,1,16,1,15,4,2,4,0,1,15,1,14,4,2,4,0,1,14,1,13,3
4,2,1,4,1,0,1,0,2,1,4,4,1,0,1,0,2,1,4,4,1,0,1,0
4,4,1,0,12,11,1,0,4,1,4,0,1,0,1,0,4,1,4,0,1,0,1,0
2,1,2,0,26,10,16,1,1,2,2,0,16,6,10,1,1,2,2,0,10,3,7,0
3,0,1,2,20,13,7,2,0,1,3,2,7,4,3,1,0,1,3,2,3,2,1,0
0,1,1,0,30,3,27,2,1,1,0,0,27,2,25,2,1,1,0,0,25,2,23,2
1,2,1,4,9,2,7,6,2,1,1,4,7,2,5,4,2,1,1,4,5,1,4,3
2,4,3,0,19,7,12,1,4,3,2,0,12,4,8,0,4,3,2,0,8,3,5,0
3,1,2,2,28,19,9,3,1,2,3,2,9,6,3,1,1,2,3,2,3,2,1,0
4,3,2,3,11,10,1,0,3,2,4,3,1,0,1,0,3,2,4,3,1,0,1,0
3,1,1,4,16,11,5,4,1,1,3,4,5,3,2,1,1,1,3,4,2,1,1,0
0,1,2,2,24,2,22,8,1,2,0,2,22,2,20,7,1,2,0,2,20,1,19,7
0,3,4,1,15,1,14,4,3,4,0,1,14,1,13,3,3,4,0,1,13,1,12,3
0,3,3,3,7,0,7,4,3,3,0,3,7,0,7,4,3,3,0,3,7,0,7,4
1,2,2,2,8,2,6,2,2,2,1,2,6,1,5,2,2,2,1,2,5,1,4,1
1,3,3,1,29,8,21,6,3,3,1,1,21,6,15,4,3,3,1,1,15,4,11,3
1,0,3,3,34,10,24,16,0,3,1,3,24,7,17,11,0,3,1,3,17,5,12,8
3,4,1,4,4,2,2,1,4,1,3,4,2,1,1,0,4,1,3,4,1,0,1,0
0,1,0,4,25,2,23,21,1,0,0,4,23,2,21,19,1,0,0,4,21,2,19,18
4,1,1,2,27,25,2,0,1,1,4,2,2,1,1,0,1,1,4,2,1,0,1,0
4,3,4,0,21,19,2,0,3,4,4,0,2,1,1,0,3,4,4,0,1,0,1,0
0,4,1,4,22,2,20,19,4,1,0,4,20,1,19,18,4,1,0,4,19,1,18,17
2,3,2,1,9,3,6,1,3,2,2,1,6,2,4,1,3,2,2,1,4,1,3,0
0,4,0,1,18,1,17,5,4,0,0,1,17,1,16,4,4,0,0,1,16,1,15,4
2,1,4,2,27,10,17,6,1,4,2,2,17,6,11,4,1,4,2,2,11,4,7,2
2,0,1,3,32,12,20,14,0,1,2,3,20,7,13,9,0,1,2,3,13,5,8,5
0,0,1,0,30,2,28,2,0,1,0,0,28,2,26,2,0,1,0,0,26,2,24,2
0,0,4,0,34,3,31,3,0,4,0,0,31,3,28,2,0,4,0,0,28,2,26,2
0,4,3,4,23,2,21,19,4,3,0,4,21,2,19,18,4,3,0,4,19,1,18,17
3,2,3,3,15,10,5,3,2,3,3,3,5,3,2,1,2,3,3,3,2,1,1,0
0,3,4,2,10,0,10,4,3,4,0,2,10,0,10,3,3,4,0,2,10,0,10,3
1,2,4,4,21,6,15,14,2,4,1,4,15,4,11,10,2,4,1,4,11,3,8,7
3,3,0,4,6,4,2,1,3,0,3,4,2,1,1,0,3,0,3,4,1,0,1,0
1,0,4,3,33,9,24,16,0,4,1,3,24,7,17,11,0,4,1,3,17,5,12,8
0,3,4,0,18,1,17,1,3,4,0,0,17,1,16,1,3,4,0,0,16,1,15,1
3,4,4,2,35,24,11,4,4,4,3,2,11,7,4,1,4,4,3,2,4,2,2,0
4,1,2,1,22,20,2,0,1,2,4,1,2,1,1,0,1,2,4,1,1,0,1,0
3,2,3,1,32,22,10,3,2,3,3,1,10,6,4,1,2,3,3,1,4,2,2,0
2,2,2,1,31,12,19,5,2,2,2,1,19,7,12,3,2,2,2,1,12,4,8,2
4,2,4,4,23,21,2,1,2,4,4,4,2,1,1,0,2,4,4,4,1,0,1,0
1,3,1,4,5,1,4,3,3,1,1,4,4,1,3,2,3,1,1,4,3,0,3,2
4,1,0,1,13,12,1,0,1,0,4,1,1,0,1,0,1,0,4,1,1,0,1,0
4,0,4,2,24,22,2,0,0,4,4,2,2,1,1,0,0,4,4,2,1,0,1,0
3,4,1,2,4,2,2,0,4,1,3,2,2,1,1,0,4,1,3,2,1,0,1,0
0,4,4,1,8,0,8,2,4,4,0,1,8,0,8,2,4,4,0,1,8,0,8,2
2,3,1,1,2,0,2,0,3,1,2,1,2,0,2,0,3,1,2,1,2,0,2,0
4,0,1,2,8,7,1,0,0,1,4,2,1,0,1,0,0,1,4,2,1,0,1,0
2,2,4,0,24,9,15,1,2,4,2,0,15,6,9,0,2,4,2,0,9,3,6,0
3,1,0,1,9,6,3,0,1,0,3,1,3,2,1,0,1,0,3,1,1,0,1,0
2,2,3,2,3,1,2,0,2,3,2,2,2,0,2,0,2,3,2,2,2,0,2,0
2,3,0,4,5,1,4,3,3,0,2,4,4,1,3,2,3,0,2,4,3,1,2,1
2,0,0,2,4,1,3,1,0,0,2,2,3,1,2,0,0,0,2,2,2,0,2,0
0,4,1,2,14,1,13,5,4,1,0,2,13,1,12,4,4,1,0,2,12,1,11,4
2,4,1,0,10,4,6,0,4,1,2,0,6,2,4,0,4,1,2,0,4,1,3,0
1,1,3,3,28,8,20,13,1,3,1,3,20,6,14,9,1,3,1,3,14,4,10,6
